"filename", "language", "JSON", "TOML", "Rust", "comment", "blank", "total"
"/home/qlt/zeno-wallet/src-tauri/Cargo.lock", "TOML", 0, 3303, 0, 0, 278, 3581
"/home/qlt/zeno-wallet/src-tauri/Cargo.toml", "TOML", 0, 2, 0, 0, -8, -6
"/home/qlt/zeno-wallet/src-tauri/src/core/api.rs", "Rust", 0, 0, 6, 0, 1, 7
"/home/qlt/zeno-wallet/src-tauri/src/core/db.rs", "Rust", 0, 0, -3, 0, 0, -3
"/home/qlt/zeno-wallet/src-tauri/src/core/mod.rs", "Rust", 0, 0, 3, 0, 2, 5
"/home/qlt/zeno-wallet/src-tauri/src/core/session.rs", "Rust", 0, 0, 12, 0, 3, 15
"/home/qlt/zeno-wallet/src-tauri/src/core/state.rs", "Rust", 0, 0, 26, 2, 3, 31
"/home/qlt/zeno-wallet/src-tauri/src/data/tx.rs", "Rust", 0, 0, 99, 9, 19, 127
"/home/qlt/zeno-wallet/src-tauri/src/error.rs", "Rust", 0, 0, 43, 8, 10, 61
"/home/qlt/zeno-wallet/src-tauri/src/evm/chains.rs", "Rust", 0, 0, 66, 0, 3, 69
"/home/qlt/zeno-wallet/src-tauri/src/evm/mod.rs", "Rust", 0, 0, 0, 0, 2, 2
"/home/qlt/zeno-wallet/src-tauri/src/evm/sign.rs", "Rust", 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/helios/client.rs", "Rust", 0, 0, 79, 8, 18, 105
"/home/qlt/zeno-wallet/src-tauri/src/helios/handler.rs", "Rust", 0, 0, 254, 17, 23, 294
"/home/qlt/zeno-wallet/src-tauri/src/helios/mod.rs", "Rust", 0, 0, 4, 0, 0, 4
"/home/qlt/zeno-wallet/src-tauri/src/helios/switch.rs", "Rust", 0, 0, 4, 1, 2, 7
"/home/qlt/zeno-wallet/src-tauri/src/helios/test.rs", "Rust", 0, 0, 9, 2, 2, 13
"/home/qlt/zeno-wallet/src-tauri/src/lib.rs", "Rust", 0, 0, 3, 2, 0, 5
"/home/qlt/zeno-wallet/src-tauri/src/rpc/custom.rs", "Rust", 0, 0, -39, 0, -7, -46
"/home/qlt/zeno-wallet/src-tauri/src/rpc/gateway.rs", "Rust", 0, 0, 212, 12, 40, 264
"/home/qlt/zeno-wallet/src-tauri/src/rpc/https.rs", "Rust", 0, 0, -150, -6, -21, -177
"/home/qlt/zeno-wallet/src-tauri/src/rpc/method.rs", "Rust", 0, 0, 311, 14, 39, 364
"/home/qlt/zeno-wallet/src-tauri/src/rpc/mod.rs", "Rust", 0, 0, 3, 0, 0, 3
"/home/qlt/zeno-wallet/src-tauri/src/rpc/public.rs", "Rust", 0, 0, -34, 1, 4, -29
"/home/qlt/zeno-wallet/src-tauri/src/spv/helios.rs", "Rust", 0, 0, 0, -218, -15, -233
"/home/qlt/zeno-wallet/src-tauri/tauri.conf.json", "JSON", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 3305, 908, -148, 399, 4465
