"filename", "language", "Rust", "Markdown", "JSON", "comment", "blank", "total"
"/home/qlt/zeno-wallet/src-tauri/src/core/state.rs", "Rust", 5, 0, 0, 0, 2, 7
"/home/qlt/zeno-wallet/src-tauri/src/evm/permit2.rs", "Rust", 100, 0, 0, 21, 20, 141
"/home/qlt/zeno-wallet/src-tauri/src/revm/gas.rs", "Rust", 276, 0, 0, 28, 31, 335
"/home/qlt/zeno-wallet/src-tauri/src/revm/mod.rs", "Rust", 1, 0, 0, 0, 0, 1
"/home/qlt/zeno-wallet/src-tauri/src/revm/native.rs", "Rust", 38, 0, 0, 24, 12, 74
"/home/qlt/zeno-wallet/src-tauri/src/revm/readme.md", "Markdown", 0, 13, 0, 0, 5, 18
"/home/qlt/zeno-wallet/src-tauri/src/revm/router.rs", "Rust", 49, 0, 0, 6, 7, 62
"/home/qlt/zeno-wallet/src-tauri/src/revm/test.rs", "Rust", 165, 0, 0, -1, 22, 186
"/home/qlt/zeno-wallet/src-tauri/src/rpc/gateway.rs", "Rust", -1, 0, 0, -3, -7, -11
"/home/qlt/zeno-wallet/src-tauri/src/rpc/gateway1.rs", "Rust", 232, 0, 0, 15, 43, 290
"/home/qlt/zeno-wallet/src-tauri/tauri.conf.json", "JSON", 0, 0, -1, 0, 0, -1
"Total", "-", 865, 13, -1, 90, 135, 1102
